ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,Status
AFG,Asia,Low Income,month_0_23 , female,none,stunting
AFG,Asia,Low Income,month_0_23 , female,primary,stunting
AFG,Asia,Low Income,month_0_23 , female,none-primary,stunting
AFG,Asia,Low Income,month_0_23 , female,secondary,stunting
AFG,Asia,Low Income,month_0_23 , female,higher,stunting
AFG,Asia,Low Income,month_0_23 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_24_35 , female,none,stunting
AFG,Asia,Low Income,month_24_35 , female,primary,stunting
AFG,Asia,Low Income,month_24_35 , female,none-primary,stunting
AFG,Asia,Low Income,month_24_35 , female,secondary,stunting
AFG,Asia,Low Income,month_24_35 , female,higher,stunting
AFG,Asia,Low Income,month_24_35 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_36_47 , female,none,stunting
AFG,Asia,Low Income,month_36_47 , female,primary,stunting
AFG,Asia,Low Income,month_36_47 , female,none-primary,stunting
AFG,Asia,Low Income,month_36_47 , female,secondary,stunting
AFG,Asia,Low Income,month_36_47 , female,higher,stunting
AFG,Asia,Low Income,month_36_47 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_48_59 , female,none,stunting
AFG,Asia,Low Income,month_48_59 , female,primary,stunting
AFG,Asia,Low Income,month_48_59 , female,none-primary,stunting
AFG,Asia,Low Income,month_48_59 , female,secondary,stunting
AFG,Asia,Low Income,month_48_59 , female,higher,stunting
AFG,Asia,Low Income,month_48_59 , female,higher_secondary,stunting
AFG,Asia,Low Income,month_24_59 , female,none,stunting
AFG,Asia,Low Income,month_24_59 , female,primary,stunting
AFG,Asia,Low Income,month_24_59 , female,none-primary,stunting
AFG,Asia,Low Income,month_24_59 , female,secondary,stunting
AFG,Asia,Low Income,month_24_59 , female,higher,stunting
AFG,Asia,Low Income,month_24_59 , female,higher_secondary,stunting
ALB,Europe,Upper Middle Income,month_0_5 , male,none,overweight
ALB,Europe,Upper Middle Income,month_0_5 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,none,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,none,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_12_23 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,none,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_0_23 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,none,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_24_35 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,none,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_36_47 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,none,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,primary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,none-primary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,secondary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,higher,overweight
ALB,Europe,Upper Middle Income,month_48_59 , male,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,none,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_0_5 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,none,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_6_11 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,none,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_12_23 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,none,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_0_23 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,none,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_24_35 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,none,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_36_47 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,none,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_48_59 , female,higher_secondary,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,none,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,primary,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,none-primary,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,secondary,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,higher,overweight
ALB,Europe,Upper Middle Income,month_24_59 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , male,none,stunting
DZA,Africa,Lower Middle Income,month_0_5 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_0_5 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , male,none,stunting
DZA,Africa,Lower Middle Income,month_6_11 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_6_11 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,none,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_12_23 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,none,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_0_23 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , male,none,stunting
DZA,Africa,Lower Middle Income,month_24_35 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_24_35 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , male,none,stunting
DZA,Africa,Lower Middle Income,month_36_47 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_36_47 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , male,none,stunting
DZA,Africa,Lower Middle Income,month_48_59 , male,primary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , male,none-primary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , male,secondary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , male,higher,overweight
DZA,Africa,Lower Middle Income,month_48_59 , male,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , female,none,stunting
DZA,Africa,Lower Middle Income,month_0_5 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_0_5 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_0_5 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,none,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_6_11 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,none,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_12_23 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,none,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_0_23 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , female,none,stunting
DZA,Africa,Lower Middle Income,month_24_35 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_24_35 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_24_35 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , female,none,stunting
DZA,Africa,Lower Middle Income,month_36_47 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_36_47 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_36_47 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , female,none,stunting
DZA,Africa,Lower Middle Income,month_48_59 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_48_59 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_48_59 , female,higher_secondary,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,none,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,primary,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,none-primary,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,secondary,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,higher,overweight
DZA,Africa,Lower Middle Income,month_24_59 , female,higher_secondary,overweight
AGO,Africa,Lower Middle Income,month_0_5 , male,none,stunting
AGO,Africa,Lower Middle Income,month_0_5 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_0_5 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,none,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_6_11 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,none,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_12_23 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,none,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_0_23 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,none,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_24_35 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,none,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_36_47 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,none,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,primary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,none-primary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,secondary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,higher,stunting
AGO,Africa,Lower Middle Income,month_48_59 , male,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,none,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_0_5 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,none,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_6_11 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,none,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_12_23 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,none,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_0_23 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,none,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_24_35 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,none,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_36_47 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,none,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_48_59 , female,higher_secondary,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,none,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,primary,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,none-primary,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,secondary,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,higher,stunting
AGO,Africa,Lower Middle Income,month_24_59 , female,higher_secondary,stunting
ARM,Asia,Upper Middle Income,month_0_5 , male,none,overweight
ARM,Asia,Upper Middle Income,month_0_5 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_0_5 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,none,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_6_11 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,none,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_12_23 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,none,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_0_23 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,none,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_24_35 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,none,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_36_47 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,none,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,primary,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,none-primary,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,secondary,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,higher,overweight
ARM,Asia,Upper Middle Income,month_48_59 , male,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,none,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,primary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,none-primary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,secondary,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,higher,overweight
ARM,Asia,Upper Middle Income,month_0_5 , female,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,none,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,primary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,none-primary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,secondary,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,higher,overweight
ARM,Asia,Upper Middle Income,month_6_11 , female,higher_secondary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,none,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,primary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,none-primary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,secondary,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,higher,overweight
ARM,Asia,Upper Middle Income,month_12_23 , female,higher_secondary,overweight
