ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,wasting_estimate
ALB,Europe,Upper Middle Income,month_48_59 , male,none-primary,1.700130576713819
ALB,Europe,Upper Middle Income,month_48_59 , male,secondary,1.47789822726693
ALB,Europe,Upper Middle Income,month_48_59 , male,higher_secondary,1.1987282217157982
ALB,Europe,Upper Middle Income,month_0_5 , female,primary,2.2749637739494446
ALB,Europe,Upper Middle Income,month_0_5 , female,none-primary,2.3563896124398136
ALB,Europe,Upper Middle Income,month_0_5 , female,secondary,2.677323420074349
ALB,Europe,Upper Middle Income,month_0_5 , female,higher_secondary,1.8197405301513572
ALB,Europe,Upper Middle Income,month_6_11 , female,primary,1.6378257394084732
ALB,Europe,Upper Middle Income,month_6_11 , female,none-primary,1.7310261033158263
ALB,Europe,Upper Middle Income,month_6_11 , female,secondary,1.5022163510934978
ALB,Europe,Upper Middle Income,month_6_11 , female,higher_secondary,1.1890815109343935
ALB,Europe,Upper Middle Income,month_12_23 , female,primary,1.6290909090909091
ALB,Europe,Upper Middle Income,month_12_23 , female,none-primary,1.716950652799292
ALB,Europe,Upper Middle Income,month_12_23 , female,secondary,1.5011953237882572
ALB,Europe,Upper Middle Income,month_12_23 , female,higher_secondary,1.2072299065420562
ALB,Europe,Upper Middle Income,month_24_35 , female,primary,1.7837642500558826
ALB,Europe,Upper Middle Income,month_24_35 , female,none-primary,1.8681153058238216
ALB,Europe,Upper Middle Income,month_24_35 , female,secondary,1.7717892283790782
ALB,Europe,Upper Middle Income,month_24_35 , female,higher_secondary,1.364629986652825
ALB,Europe,Upper Middle Income,month_36_47 , female,primary,1.6994224788982677
ALB,Europe,Upper Middle Income,month_36_47 , female,none-primary,1.7847669599360134
ALB,Europe,Upper Middle Income,month_36_47 , female,secondary,1.6260468689973109
ALB,Europe,Upper Middle Income,month_36_47 , female,higher_secondary,1.2833173679168817
ALB,Europe,Upper Middle Income,month_48_59 , female,primary,1.952968103957472
ALB,Europe,Upper Middle Income,month_48_59 , female,none-primary,2.033536364295555
ALB,Europe,Upper Middle Income,month_48_59 , female,secondary,2.0640244679495345
ALB,Europe,Upper Middle Income,month_48_59 , female,higher_secondary,1.5368138731721652
DZA,Africa,Lower Middle Income,month_0_5 , male,primary,3.899013670812633
DZA,Africa,Lower Middle Income,month_0_5 , male,none-primary,3.4508313486322257
DZA,Africa,Lower Middle Income,month_0_5 , male,secondary,3.1976106503605086
DZA,Africa,Lower Middle Income,month_0_5 , male,higher_secondary,3.175931714354412
DZA,Africa,Lower Middle Income,month_6_11 , male,primary,2.8820587810514158
DZA,Africa,Lower Middle Income,month_6_11 , male,none-primary,2.82675265284376
DZA,Africa,Lower Middle Income,month_6_11 , male,secondary,2.86006899370162
DZA,Africa,Lower Middle Income,month_6_11 , male,higher_secondary,2.916543652369911
DZA,Africa,Lower Middle Income,month_12_23 , male,primary,2.3401885101338653
DZA,Africa,Lower Middle Income,month_12_23 , male,none-primary,2.473236806130505
DZA,Africa,Lower Middle Income,month_12_23 , male,secondary,2.653711412301442
DZA,Africa,Lower Middle Income,month_12_23 , male,higher_secondary,2.7517126380879597
DZA,Africa,Lower Middle Income,month_24_35 , male,primary,2.178474678629972
DZA,Africa,Lower Middle Income,month_24_35 , male,none-primary,2.36487730944113
DZA,Africa,Lower Middle Income,month_24_35 , male,secondary,2.59077354247671
DZA,Africa,Lower Middle Income,month_24_35 , male,higher_secondary,2.7022908176536893
DZA,Africa,Lower Middle Income,month_36_47 , male,primary,1.969572125751901
DZA,Africa,Lower Middle Income,month_36_47 , male,none-primary,2.2232193786363466
DZA,Africa,Lower Middle Income,month_36_47 , male,secondary,2.5074980163977787
DZA,Africa,Lower Middle Income,month_36_47 , male,higher_secondary,2.636580858541808
DZA,Africa,Lower Middle Income,month_48_59 , male,primary,2.4251605814739685
DZA,Africa,Lower Middle Income,month_48_59 , male,none-primary,2.528022934564584
DZA,Africa,Lower Middle Income,month_48_59 , male,secondary,2.683725658270693
DZA,Africa,Lower Middle Income,month_48_59 , male,higher_secondary,2.7744789018810367
DZA,Africa,Lower Middle Income,month_0_5 , female,primary,3.3908520413880683
DZA,Africa,Lower Middle Income,month_0_5 , female,none-primary,3.134310192425376
DZA,Africa,Lower Middle Income,month_0_5 , female,secondary,3.0253831848403445
DZA,Africa,Lower Middle Income,month_0_5 , female,higher_secondary,3.04375
DZA,Africa,Lower Middle Income,month_6_11 , female,primary,3.141825989544436
DZA,Africa,Lower Middle Income,month_6_11 , female,none-primary,2.9832426920462267
DZA,Africa,Lower Middle Income,month_6_11 , female,secondary,2.9443716577540107
DZA,Africa,Lower Middle Income,month_6_11 , female,higher_secondary,2.981648453003158
DZA,Africa,Lower Middle Income,month_12_23 , female,primary,2.2586283123140145
DZA,Africa,Lower Middle Income,month_12_23 , female,none-primary,2.4167968082074665
DZA,Africa,Lower Middle Income,month_12_23 , female,secondary,2.61960125571405
DZA,Africa,Lower Middle Income,month_12_23 , female,higher_secondary,2.724390117573937
DZA,Africa,Lower Middle Income,month_24_35 , female,primary,1.9465682245185527
DZA,Africa,Lower Middle Income,month_24_35 , female,none-primary,2.2137997432605907
DZA,Africa,Lower Middle Income,month_24_35 , female,secondary,2.5058360501987407
DZA,Africa,Lower Middle Income,month_24_35 , female,higher_secondary,2.6366110922082338
DZA,Africa,Lower Middle Income,month_36_47 , female,primary,1.8489576500784253
DZA,Africa,Lower Middle Income,month_36_47 , female,none-primary,2.1433959744347995
DZA,Africa,Lower Middle Income,month_36_47 , female,secondary,2.4618616463313643
DZA,Africa,Lower Middle Income,month_36_47 , female,higher_secondary,2.601034405217
DZA,Africa,Lower Middle Income,month_48_59 , female,primary,1.8281163841145072
DZA,Africa,Lower Middle Income,month_48_59 , female,none-primary,2.135141124329368
DZA,Africa,Lower Middle Income,month_48_59 , female,secondary,2.4605732526731705
DZA,Africa,Lower Middle Income,month_48_59 , female,higher_secondary,2.601206269461234
AGO,Africa,Lower Middle Income,month_0_5 , male,primary,5.212754011548154
AGO,Africa,Lower Middle Income,month_0_5 , male,none-primary,5.433199718839644
AGO,Africa,Lower Middle Income,month_0_5 , male,secondary,4.185056820655723
AGO,Africa,Lower Middle Income,month_0_5 , male,higher_secondary,4.01030936151333
AGO,Africa,Lower Middle Income,month_6_11 , male,primary,5.844923938641716
AGO,Africa,Lower Middle Income,month_6_11 , male,none-primary,5.809712789771218
AGO,Africa,Lower Middle Income,month_6_11 , male,secondary,5.050481729016579
AGO,Africa,Lower Middle Income,month_6_11 , male,higher_secondary,4.812715135917645
AGO,Africa,Lower Middle Income,month_12_23 , male,primary,5.983073924384442
AGO,Africa,Lower Middle Income,month_12_23 , male,none-primary,5.897675287918974
AGO,Africa,Lower Middle Income,month_12_23 , male,secondary,5.336156486965708
AGO,Africa,Lower Middle Income,month_12_23 , male,higher_secondary,5.109056577136201
AGO,Africa,Lower Middle Income,month_24_35 , male,primary,5.384116614383975
AGO,Africa,Lower Middle Income,month_24_35 , male,none-primary,5.526078266921251
AGO,Africa,Lower Middle Income,month_24_35 , male,secondary,4.5434027382713245
AGO,Africa,Lower Middle Income,month_24_35 , male,higher_secondary,4.366520058170467
AGO,Africa,Lower Middle Income,month_36_47 , male,primary,4.645843756289715
AGO,Africa,Lower Middle Income,month_36_47 , male,none-primary,5.068070838758004
AGO,Africa,Lower Middle Income,month_36_47 , male,secondary,3.5717943861509904
AGO,Africa,Lower Middle Income,month_36_47 , male,higher_secondary,3.4579698848538527
AGO,Africa,Lower Middle Income,month_48_59 , male,primary,4.999545361816221
AGO,Africa,Lower Middle Income,month_48_59 , male,none-primary,5.289873212840571
AGO,Africa,Lower Middle Income,month_48_59 , male,secondary,4.020491265954575
AGO,Africa,Lower Middle Income,month_48_59 , male,higher_secondary,3.8752404625526857
AGO,Africa,Lower Middle Income,month_0_5 , female,primary,5.229595766665622
AGO,Africa,Lower Middle Income,month_0_5 , female,none-primary,5.440861184692555
AGO,Africa,Lower Middle Income,month_0_5 , female,secondary,4.233629069915525
AGO,Africa,Lower Middle Income,month_0_5 , female,higher_secondary,4.059449237678761
AGO,Africa,Lower Middle Income,month_6_11 , female,primary,5.7227811598846525
AGO,Africa,Lower Middle Income,month_6_11 , female,none-primary,5.736962401432326
AGO,Africa,Lower Middle Income,month_6_11 , female,secondary,4.876127901883487
AGO,Africa,Lower Middle Income,month_6_11 , female,higher_secondary,4.649229396495782
AGO,Africa,Lower Middle Income,month_12_23 , female,primary,5.125751831475728
AGO,Africa,Lower Middle Income,month_12_23 , female,none-primary,5.364456388696716
AGO,Africa,Lower Middle Income,month_12_23 , female,secondary,4.21446762293547
AGO,Africa,Lower Middle Income,month_12_23 , female,higher_secondary,4.060710905457987
AGO,Africa,Lower Middle Income,month_24_35 , female,primary,5.137861397646375
AGO,Africa,Lower Middle Income,month_24_35 , female,none-primary,5.374791318864775
AGO,Africa,Lower Middle Income,month_24_35 , female,secondary,4.207163433839062
AGO,Africa,Lower Middle Income,month_24_35 , female,higher_secondary,4.050209970927102
AGO,Africa,Lower Middle Income,month_36_47 , female,primary,4.629358846208767
AGO,Africa,Lower Middle Income,month_36_47 , female,none-primary,5.056049869465608
AGO,Africa,Lower Middle Income,month_36_47 , female,secondary,3.5596395719917404
AGO,Africa,Lower Middle Income,month_36_47 , female,higher_secondary,3.4475387372193524
AGO,Africa,Lower Middle Income,month_48_59 , female,primary,4.971838607222679
AGO,Africa,Lower Middle Income,month_48_59 , female,none-primary,5.274457465277778
AGO,Africa,Lower Middle Income,month_48_59 , female,secondary,3.971916952856696
AGO,Africa,Lower Middle Income,month_48_59 , female,higher_secondary,3.8282622950819674
ARM,Asia,Upper Middle Income,month_0_5 , male,primary,6.941534988713318
ARM,Asia,Upper Middle Income,month_0_5 , male,none-primary,6.941534988713318
ARM,Asia,Upper Middle Income,month_0_5 , male,secondary,6.443430152143845
ARM,Asia,Upper Middle Income,month_0_5 , male,higher_secondary,4.614965286706095
ARM,Asia,Upper Middle Income,month_6_11 , male,primary,4.056323987538941
ARM,Asia,Upper Middle Income,month_6_11 , male,none-primary,4.056323987538941
ARM,Asia,Upper Middle Income,month_6_11 , male,secondary,5.77601585728444
ARM,Asia,Upper Middle Income,month_6_11 , male,higher_secondary,4.288803690948081
ARM,Asia,Upper Middle Income,month_12_23 , male,primary,3.877916992952232
ARM,Asia,Upper Middle Income,month_12_23 , male,none-primary,3.877916992952232
ARM,Asia,Upper Middle Income,month_12_23 , male,secondary,5.515451822266599
ARM,Asia,Upper Middle Income,month_12_23 , male,higher_secondary,4.247410943811972
ARM,Asia,Upper Middle Income,month_24_35 , male,primary,3.814033712269698
ARM,Asia,Upper Middle Income,month_24_35 , male,none-primary,3.814033712269698
ARM,Asia,Upper Middle Income,month_24_35 , male,secondary,5.495717318017231
ARM,Asia,Upper Middle Income,month_24_35 , male,higher_secondary,4.237502295684115
ARM,Asia,Upper Middle Income,month_36_47 , male,primary,6.280668257756563
ARM,Asia,Upper Middle Income,month_36_47 , male,none-primary,6.280668257756563
ARM,Asia,Upper Middle Income,month_36_47 , male,secondary,6.281384846964374
ARM,Asia,Upper Middle Income,month_36_47 , male,higher_secondary,4.618947110074856
ARM,Asia,Upper Middle Income,month_48_59 , male,primary,3.3861702127659576
ARM,Asia,Upper Middle Income,month_48_59 , male,none-primary,3.3861702127659576
ARM,Asia,Upper Middle Income,month_48_59 , male,secondary,5.339678615574784
ARM,Asia,Upper Middle Income,month_48_59 , male,higher_secondary,4.166812865497077
ARM,Asia,Upper Middle Income,month_0_5 , female,primary,4.857689811810512
ARM,Asia,Upper Middle Income,month_0_5 , female,none-primary,4.857689811810512
ARM,Asia,Upper Middle Income,month_0_5 , female,secondary,5.968181168738392
ARM,Asia,Upper Middle Income,month_0_5 , female,higher_secondary,4.370355628058728
ARM,Asia,Upper Middle Income,month_6_11 , female,primary,5.052193475815523
ARM,Asia,Upper Middle Income,month_6_11 , female,none-primary,5.052193475815523
ARM,Asia,Upper Middle Income,month_6_11 , female,secondary,5.979601990049751
ARM,Asia,Upper Middle Income,month_6_11 , female,higher_secondary,4.400000000000001
ARM,Asia,Upper Middle Income,month_12_23 , female,primary,2.2222588623248143
ARM,Asia,Upper Middle Income,month_12_23 , female,none-primary,2.2222588623248143
ARM,Asia,Upper Middle Income,month_12_23 , female,secondary,5.032572298325723
ARM,Asia,Upper Middle Income,month_12_23 , female,higher_secondary,4.002541640962369
ARM,Asia,Upper Middle Income,month_24_35 , female,primary,6.792954363490793
ARM,Asia,Upper Middle Income,month_24_35 , female,none-primary,6.792954363490793
ARM,Asia,Upper Middle Income,month_24_35 , female,secondary,6.442232277526395
ARM,Asia,Upper Middle Income,month_24_35 , female,higher_secondary,4.695909593416044
ARM,Asia,Upper Middle Income,month_36_47 , female,primary,5.76063548102383
ARM,Asia,Upper Middle Income,month_36_47 , female,none-primary,5.76063548102383
ARM,Asia,Upper Middle Income,month_36_47 , female,secondary,6.128845157949249
ARM,Asia,Upper Middle Income,month_36_47 , female,higher_secondary,4.51985046728972
ARM,Asia,Upper Middle Income,month_48_59 , female,primary,6.8782588668816205
ARM,Asia,Upper Middle Income,month_48_59 , female,none-primary,6.8782588668816205
ARM,Asia,Upper Middle Income,month_48_59 , female,secondary,6.45147463625639
ARM,Asia,Upper Middle Income,month_48_59 , female,higher_secondary,4.66453776245691
BGD,Asia,Lower Middle Income,month_0_5 , male,primary,10.990454637996647
BGD,Asia,Lower Middle Income,month_0_5 , male,none-primary,11.454858863209362
BGD,Asia,Lower Middle Income,month_0_5 , male,higher_secondary,9.020280892717812
BGD,Asia,Lower Middle Income,month_6_11 , male,primary,11.261333438163376
BGD,Asia,Lower Middle Income,month_6_11 , male,none-primary,11.65176171449328
BGD,Asia,Lower Middle Income,month_6_11 , male,higher_secondary,9.128266556430413
BGD,Asia,Lower Middle Income,month_12_23 , male,primary,11.307308817778498
BGD,Asia,Lower Middle Income,month_12_23 , male,none-primary,11.644521478237955
BGD,Asia,Lower Middle Income,month_12_23 , male,higher_secondary,9.285109534952626
BGD,Asia,Lower Middle Income,month_24_35 , male,primary,10.67278911564626
BGD,Asia,Lower Middle Income,month_24_35 , male,none-primary,11.162811941616978
BGD,Asia,Lower Middle Income,month_24_35 , male,higher_secondary,9.010241010935369
BGD,Asia,Lower Middle Income,month_36_47 , male,primary,10.508715045462342
BGD,Asia,Lower Middle Income,month_36_47 , male,none-primary,11.035601029138991
BGD,Asia,Lower Middle Income,month_36_47 , male,higher_secondary,8.942362620583111
BGD,Asia,Lower Middle Income,month_48_59 , male,primary,10.886116285258115
BGD,Asia,Lower Middle Income,month_48_59 , male,none-primary,11.323482606034457
BGD,Asia,Lower Middle Income,month_48_59 , male,higher_secondary,9.107036133282046
BGD,Asia,Lower Middle Income,month_0_5 , female,primary,10.692365683748449
BGD,Asia,Lower Middle Income,month_0_5 , female,none-primary,11.245561087267523
BGD,Asia,Lower Middle Income,month_0_5 , female,higher_secondary,8.886139988838273
BGD,Asia,Lower Middle Income,month_6_11 , female,primary,10.662898020135843
BGD,Asia,Lower Middle Income,month_6_11 , female,none-primary,11.228219133881858
BGD,Asia,Lower Middle Income,month_6_11 , female,higher_secondary,8.867159823063043
BGD,Asia,Lower Middle Income,month_12_23 , female,primary,10.725948417030567
BGD,Asia,Lower Middle Income,month_12_23 , female,none-primary,11.211857109254352
BGD,Asia,Lower Middle Income,month_12_23 , female,higher_secondary,9.015355857608323
BGD,Asia,Lower Middle Income,month_24_35 , female,primary,10.372053082451613
BGD,Asia,Lower Middle Income,month_24_35 , female,none-primary,10.951311448366877
BGD,Asia,Lower Middle Income,month_24_35 , female,higher_secondary,8.85041138563968
BGD,Asia,Lower Middle Income,month_36_47 , female,primary,10.05524494321618
BGD,Asia,Lower Middle Income,month_36_47 , female,none-primary,10.701773401007015
BGD,Asia,Lower Middle Income,month_36_47 , female,higher_secondary,8.725676662903235
BGD,Asia,Lower Middle Income,month_48_59 , female,primary,11.215825722413536
BGD,Asia,Lower Middle Income,month_48_59 , female,none-primary,11.578285189343678
BGD,Asia,Lower Middle Income,month_48_59 , female,higher_secondary,9.235851554103697
BRB,Latin America and the Caribbean,High Income,month_12_23 , male,higher_secondary,6.755711422845692
BRB,Latin America and the Caribbean,High Income,month_24_35 , male,higher_secondary,6.742619745845552
BRB,Latin America and the Caribbean,High Income,month_36_47 , male,higher_secondary,6.56548960681192
BRB,Latin America and the Caribbean,High Income,month_48_59 , male,higher_secondary,6.379283065512979
BRB,Latin America and the Caribbean,High Income,month_12_23 , female,higher_secondary,6.697359735973598
BRB,Latin America and the Caribbean,High Income,month_24_35 , female,higher_secondary,6.446820230345519
BRB,Latin America and the Caribbean,High Income,month_36_47 , female,higher_secondary,6.487876524769728
BRB,Latin America and the Caribbean,High Income,month_48_59 , female,higher_secondary,6.620440881763527
BLR,Europe,Upper Middle Income,month_0_5 , male,secondary,3.476071989370697
BLR,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,2.917655349920333
BLR,Europe,Upper Middle Income,month_6_11 , male,secondary,2.020541205412054
BLR,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,2.1806481538746985
BLR,Europe,Upper Middle Income,month_12_23 , male,secondary,1.3046367851622875
BLR,Europe,Upper Middle Income,month_12_23 , male,higher_secondary,1.7748760144274125
BLR,Europe,Upper Middle Income,month_24_35 , male,secondary,2.1255862212077195
BLR,Europe,Upper Middle Income,month_24_35 , male,higher_secondary,2.2242631668269506
BLR,Europe,Upper Middle Income,month_36_47 , male,secondary,2.0719806763285025
BLR,Europe,Upper Middle Income,month_36_47 , male,higher_secondary,2.197326264838078
BLR,Europe,Upper Middle Income,month_48_59 , male,secondary,1.6717107325739369
BLR,Europe,Upper Middle Income,month_48_59 , male,higher_secondary,1.977992957746479
BLR,Europe,Upper Middle Income,month_0_5 , female,secondary,2.511308562197092
BLR,Europe,Upper Middle Income,month_0_5 , female,higher_secondary,2.42697998259356
BLR,Europe,Upper Middle Income,month_6_11 , female,secondary,1.505597735169219
BLR,Europe,Upper Middle Income,month_6_11 , female,higher_secondary,1.931176470588236
BLR,Europe,Upper Middle Income,month_12_23 , female,secondary,1.3102580043518806
BLR,Europe,Upper Middle Income,month_12_23 , female,higher_secondary,1.779378179762578
BLR,Europe,Upper Middle Income,month_24_35 , female,secondary,1.5692172836959883
BLR,Europe,Upper Middle Income,month_24_35 , female,higher_secondary,1.9197451511050967
BLR,Europe,Upper Middle Income,month_36_47 , female,secondary,1.770860132999019
BLR,Europe,Upper Middle Income,month_36_47 , female,higher_secondary,2.0378805484545666
BLR,Europe,Upper Middle Income,month_48_59 , female,secondary,1.888342559426897
BLR,Europe,Upper Middle Income,month_48_59 , female,higher_secondary,2.1
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , male,primary,1.855055997403019
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , male,none-primary,1.6444099613958063
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , male,secondary,2.8179773971804734
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , male,higher_secondary,2.60044146500981
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , male,primary,1.441314627994956
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , male,none-primary,1.2634381674891362
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , male,secondary,2.1919879316124704
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , male,higher_secondary,2.1620892205111923
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , male,primary,1.4448381577071157
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , male,none-primary,1.2827086825343612
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , male,secondary,2.099154272382618
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , male,higher_secondary,2.096433696900115
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , male,primary,1.7902745995423344
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , male,none-primary,1.6070396019632889
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , male,secondary,2.573343094192289
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , male,higher_secondary,2.4460774435007915
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , male,primary,1.5754925584691708
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , male,none-primary,1.406527101806787
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , male,secondary,2.271613152058625
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , male,higher_secondary,2.2240228245363767
BLZ,Latin America and the Caribbean,Upper Middle Income,month_48_59 , male,primary,1.5
BLZ,Latin America and the Caribbean,Upper Middle Income,month_48_59 , male,none-primary,1.3325164618831036
BLZ,Latin America and the Caribbean,Upper Middle Income,month_48_59 , male,secondary,2.1866475304365043
BLZ,Latin America and the Caribbean,Upper Middle Income,month_48_59 , male,higher_secondary,2.160674810936591
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , female,primary,1.813432106805601
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , female,none-primary,1.6049874743794126
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , female,secondary,2.762422469280281
BLZ,Latin America and the Caribbean,Upper Middle Income,month_0_5 , female,higher_secondary,2.5608331966540923
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , female,primary,1.5111119739089922
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , female,none-primary,1.3311832643277404
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , female,secondary,2.274734653682022
BLZ,Latin America and the Caribbean,Upper Middle Income,month_6_11 , female,higher_secondary,2.221668751954958
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , female,primary,1.419304029304029
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , female,none-primary,1.254542953435587
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , female,secondary,2.088810412672788
BLZ,Latin America and the Caribbean,Upper Middle Income,month_12_23 , female,higher_secondary,2.088797935103245
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , female,primary,1.348876935378353
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , female,none-primary,1.1895944285129043
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , female,secondary,1.9849470952285884
BLZ,Latin America and the Caribbean,Upper Middle Income,month_24_35 , female,higher_secondary,2.012665544742811
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , female,primary,1.3891880341880345
BLZ,Latin America and the Caribbean,Upper Middle Income,month_36_47 , female,none-primary,1.2305244825507402
